E100 Index	FTSE Eurotop 100 Index
E300 Index	FTSEurofirst 300 Index
MSER Index	MSCI Euro Index
MSPE Index	MSCI Pan Euro Index
SPEURO Index	S&P Europe 350 GICS Level Sect
SPEU Index	S&P Europe Economic Sectors GI
N100 Index	Euronext 100 Index
N150 Index	Euronext 150 Index
FTEF80 Index	FTSE Eurofirst 80 Index
FTEFC1 Index	FTSE Eurofirst 100 Index
NTX Index	Wiener Boerse New Europe Blue
BGB100 Index	Bloomberg United Kingdom 100 P
UKX Index	FTSE 100 Index
MCX Index	FTSE 250 Index
NMX Index	FTSE 350 Index
SMX Index	FTSE Small Capitalisation Inde
ASX Index	FTSE All-Share Index
T1X Index	FTSE techMARK Focus Index
AXX Index	FTSE AIM All Share Index
BDE40PR Index	Bloomberg Germany 40 Price Ret
DAX Index	Deutsche Boerse AG German Stoc
CDAX Index	Deutsche Borse AG Composite DA
HDAX Index	Deutsche Borse AG HDAX Index
MDAX Index	Deutsche Borse AG DAX Mid-Cap
TDXP Index	Deutsche Borse TecDAX Total Re
PXAP Index	Deutsche Borse Prime All Share
NMDP Index	Deutsche Borse Technology All
CLXP Index	Deutsche Borse Classic All Sha
BFR40PR Index	Bloomberg France 40 Price Retu
CAC Index	CAC 40
SBF250 Index	CAC All-Tradable
CN20 Index	CAC Next 20
CM100 Index	CAC Mid 60
MS190 Index	CAC Mid & Small
CS90 Index	CAC Small
PAX Index	CAC AllShares Index
SBF120 Index	SBF 120
BES35PR Index	Bloomberg Spain 35 Price Retur
IBEX Index	IBEX 35 Index
MADX Index	Madrid Stock Exchange General
ES30 Index	Dow Jones Spain Titans 30 Inde
CHL Index	Bloomberg Switzerland Large &
SMI Index	Swiss Market Index
SPI Index	Swiss Exchange Swiss Performan
CH30 Index	Dow Jones Switzerland Titans 3
SPIEXX Index	SPI EXTRA Price Return
SMIM Index	SMIM Price Index
SLI Index	SLI SWISS LEADER INDEX
DIT40P Index	Bloomberg Italia 40 Price Retu
FTSEMIB Index	FTSE MIB Index
ITLMS Index	FTSE Italia All-Share Index
ITMC Index	FTSE Italia Mid Cap Index
ITSTAR Index	FTSE Italia STAR Index
IT30 Index	Dow Jones Italy Titans 30 Inde
PTL Index	Bloomberg Portugal Large & Mid
BVLX Index	PSI All-Share Index Gross Retu
PSI20 Index	PSI
IEL Index	Bloomberg Ireland Large & Mid
ISEQ Index	ISEQ All-Share Index
ICEXI Index	OMX Iceland All-Share PI
NLL Index	Bloomberg Netherlands Large &
AEX Index	AEX-Index
AMX Index	AMX-Index
BEL Index	Bloomberg Belgium Large & Mid
BEL20 Index	BEL 20
BELSTK Index	Brussels Stock Exchange Belgia
LUXXX Index	Luxembourg Stock Exchange LuxX
